plotIDyear,AGORET,CALGRE,CALING,CHLEMA,CYMCRI,CYMLIM,CYMNEG,CYMPLA2,DICPOL,GASHON,MYACYA,NOTAEN,OTHE,PLADEC,PTEADO,PTEADS,PTECOR1,PTELAC2,PTEMUT2,PTEPEN,PTEROS,PTESP23,PTETRI3,SCAVIC,SCAVID,SPHCAN,SPHSTE3,SYNIMP,cups,totalIndividuals,density,ShannonBeetle,SimpsonBeetle,spNum,plotID,nlcdClass,logDen,siteID
BART_002 2015,1,0,0,0,8,0,3,0,0,0,0,1,0,0,3,0,10,3,0,12,8,0,14,0,0,2,7,32,29,104,3.586206896551724,2.1553397174009996,0.8452292899408284,13,BART_002,deciduousForest,1.5230532982352798,BART
BART_002 2016,0,0,0,1,6,0,4,1,0,0,0,0,0,0,2,0,7,1,0,6,16,0,14,0,0,1,4,18,40,81,2.025,2.160695478909674,0.8571864045115074,13,BART_002,deciduousForest,1.1069110914828049,BART
BART_002 2017,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5,0,7,0,0,7,21,0,15,0,0,3,2,42,40,107,2.675,1.8031551101892411,0.7743907764870295,10,BART_002,deciduousForest,1.3015531326648,BART
BART_002 2018,0,0,0,0,13,1,9,0,0,0,0,0,0,0,0,1,4,0,0,13,15,0,18,0,0,2,1,78,29,155,5.344827586206897,1.6507418302348746,0.7055150884495318,11,BART_002,deciduousForest,1.8476399276225117,BART
BART_002 2019,0,0,0,0,2,0,8,0,0,0,0,0,0,0,6,0,5,2,0,16,18,0,14,0,0,0,0,58,29,129,4.448275862068965,1.7044133667067054,0.7432245658313803,9,BART_002,deciduousForest,1.6952992030404928,BART
BART_018 2015,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,27,0,0,21,2,0,12,0,0,1,0,19,32,89,2.78125,1.717133503787694,0.7855068804443883,9,BART_018,mixedForest,1.3300546427970146,BART
BART_018 2016,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,1,10,0,0,9,2,0,9,0,0,5,0,20,40,64,1.6,1.9594293798151954,0.82470703125,10,BART_018,mixedForest,0.9555114450274363,BART
BART_018 2017,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,20,0,0,20,5,0,8,0,0,4,3,57,40,123,3.075,1.669261281087362,0.7241721197699782,11,BART_018,mixedForest,1.404870746692826,BART
BART_018 2018,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,5,0,0,8,3,0,5,0,0,1,1,63,30,93,3.1,1.2520572818777607,0.523528731645277,10,BART_018,mixedForest,1.410986973710262,BART
BART_018 2019,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,36,0,0,27,9,0,15,0,0,1,0,71,30,167,5.566666666666666,1.5707881293197241,0.7344114166875829,8,BART_018,mixedForest,1.882006347075833,BART
BART_025 2015,3,3,1,0,1,0,5,0,0,0,0,0,0,0,0,2,4,1,0,24,8,0,22,0,0,12,8,25,32,119,3.71875,2.1790528957329527,0.8571428571428572,14,BART_025,evergreenForest,1.5515439340151977,BART
BART_025 2016,3,5,0,0,1,0,10,0,0,0,0,0,0,0,2,1,0,0,0,10,15,0,14,0,0,4,4,8,39,77,1.9743589743589745,2.2129682075326422,0.8723224827120931,12,BART_025,evergreenForest,1.0900285449767182,BART
BART_025 2017,1,1,4,0,3,0,20,0,0,0,0,0,0,0,1,1,0,0,0,33,13,0,28,0,0,20,7,41,40,173,4.325,2.0516791754734616,0.8462695044939691,13,BART_025,evergreenForest,1.6724127115954888,BART
BART_025 2018,1,0,1,0,1,1,38,0,0,0,0,0,0,0,0,0,2,0,0,11,3,0,6,0,0,1,8,42,30,115,3.8333333333333335,1.669667203022229,0.7393572778827977,12,BART_025,evergreenForest,1.5755363607584192,BART
BART_025 2019,2,0,4,0,3,0,34,0,0,0,0,0,0,0,2,2,2,2,0,16,7,0,11,0,0,7,5,127,27,224,8.296296296296296,1.5861607699852303,0.6446508290816326,14,BART_025,evergreenForest,2.229616073127455,BART
BART_028 2015,2,3,0,0,0,1,19,0,0,1,0,0,0,0,2,0,8,1,0,17,8,0,33,0,0,5,2,27,33,129,3.909090909090909,2.0903993303923647,0.8410552250465717,14,BART_028,evergreenForest,1.5910887737659039,BART
BART_028 2016,1,4,1,0,1,0,25,0,0,0,0,0,0,0,0,1,1,0,0,8,8,0,43,0,0,1,2,29,37,125,3.3783783783783785,1.787852808193399,0.777984,13,BART_028,evergreenForest,1.4766784225881597,BART
BART_028 2017,0,1,8,0,0,0,39,0,0,0,0,0,0,0,3,0,3,1,0,32,9,0,55,0,0,6,1,60,40,218,5.45,1.8358747137679834,0.8027943775776449,12,BART_028,evergreenForest,1.864080130807681,BART
BART_028 2018,1,0,5,0,3,0,50,0,0,0,0,1,0,0,2,0,0,1,0,8,8,0,14,0,0,2,1,46,30,142,4.733333333333333,1.7441922904054066,0.7527276334060702,13,BART_028,evergreenForest,1.7462970951512977,BART
BART_028 2019,0,0,19,0,2,1,43,0,0,0,0,0,0,0,12,1,0,2,0,34,12,0,53,0,0,2,0,139,27,320,11.851851851851851,1.7130516388636616,0.74806640625,12,BART_028,evergreenForest,2.55348791394253,BART
BART_031 2015,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,19,5,0,19,0,0,0,0,15,32,66,2.0625,1.6140470494458379,0.7699724517906336,7,BART_031,evergreenForest,1.1192315758708453,BART
BART_031 2016,0,0,0,0,2,1,6,0,0,0,0,0,0,0,5,0,2,0,0,5,12,0,29,0,0,3,0,28,35,93,2.657142857142857,1.8047979159497838,0.7834431726211123,10,BART_031,evergreenForest,1.2966822024302034,BART
BART_031 2017,0,0,0,0,0,1,8,0,0,2,0,1,0,0,2,0,1,1,0,44,18,9,29,0,0,2,0,50,40,168,4.2,1.8361473038772245,0.7958475056689343,13,BART_031,evergreenForest,1.6486586255873816,BART
BART_031 2018,0,0,0,0,1,0,40,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,39,24,95,3.9583333333333335,1.2693145600202314,0.6462049861495844,7,BART_031,evergreenForest,1.6010696627635839,BART
BART_031 2019,0,0,3,0,4,0,23,0,0,0,0,0,0,0,3,0,2,4,0,49,40,0,30,0,0,1,0,147,30,306,10.2,1.5893740744138998,0.710645478234867,11,BART_031,evergreenForest,2.4159137783010487,BART
BART_066 2015,8,0,0,0,7,0,11,0,0,0,0,0,0,0,2,0,41,29,0,10,3,0,15,1,0,29,15,25,32,196,6.125,2.249467985436966,0.8754164931278634,13,BART_066,mixedForest,1.9636097261547143,BART
BART_066 2016,5,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,11,18,0,12,3,0,14,0,0,6,6,51,40,145,3.625,2.0695002960960536,0.8251129607609988,11,BART_066,mixedForest,1.5314763709643886,BART
BART_066 2017,2,0,0,0,6,0,8,0,0,0,0,0,0,0,2,2,37,27,0,16,5,0,11,0,2,23,6,34,40,181,4.525,2.2312513766762283,0.867616983608559,14,BART_066,mixedForest,1.7092832474038167,BART
BART_066 2018,1,0,0,0,32,0,28,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,1,0,1,10,1,56,28,139,4.964285714285714,1.5799977329221095,0.7360902644790642,11,BART_066,mixedForest,1.7857893022415512,BART
BART_066 2019,6,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,35,43,0,19,0,0,6,0,0,23,3,78,30,229,7.633333333333334,1.8873429714892094,0.8044087641349326,10,BART_066,mixedForest,2.1556306800373823,BART
BART_068 2015,0,1,0,0,5,0,2,0,0,1,0,0,0,0,1,0,23,2,0,20,5,0,17,0,0,6,1,42,31,126,4.064516129032258,1.9252081933303944,0.8059964726631393,13,BART_068,mixedForest,1.6222586008631619,BART
BART_068 2016,0,2,4,0,14,0,6,0,0,0,0,0,0,0,2,0,4,1,0,6,3,0,33,0,1,0,0,27,38,103,2.710526315789474,1.9164858655785266,0.7985672542181167,12,BART_068,mixedForest,1.3111737306517826,BART
BART_068 2017,1,0,5,0,22,0,21,0,1,0,0,0,0,0,1,2,17,2,0,65,4,0,28,0,0,4,2,98,39,273,7,1.8828686036561761,0.786673643816501,15,BART_068,mixedForest,2.0794415416798357,BART
BART_068 2018,0,0,5,0,63,0,82,0,0,1,0,2,0,0,1,0,0,0,0,26,4,0,16,0,0,1,0,209,30,410,13.666666666666666,1.4235549265004368,0.6707079119571684,11,BART_068,mixedForest,2.6855773452501515,BART
BART_068 2019,0,0,21,0,47,0,67,0,0,1,0,1,0,0,4,1,33,18,0,101,6,0,46,0,0,0,0,435,30,781,26.033333333333335,1.5449110149290903,0.6554714153855739,13,BART_068,mixedForest,3.2970706724532577,BART
BART_079 2015,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34,48,0,5,3,0,4,0,1,7,3,70,32,178,5.5625,1.6036150947525947,0.7326095190001263,12,BART_079,deciduousForest,1.8813716279177422,BART
BART_079 2016,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,23,15,0,8,1,0,11,0,0,3,3,73,40,143,3.575,1.6143093147426355,0.6919653772800626,12,BART_079,deciduousForest,1.5206066987274847,BART
BART_079 2017,3,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,84,86,0,22,18,0,6,0,1,7,3,157,40,392,9.8,1.6272340695115282,0.7395486255726781,13,BART_079,deciduousForest,2.379546134130174,BART
BART_079 2018,1,0,0,0,6,0,4,0,0,0,0,0,0,1,1,2,21,9,0,31,6,0,0,0,0,3,0,119,30,204,6.8,1.4425919854625016,0.6215878508266051,12,BART_079,deciduousForest,2.0541237336955462,BART
BART_079 2019,3,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,56,62,0,28,8,0,4,0,0,2,0,68,29,236,8.137931034482758,1.6759576726511736,0.7756032749209997,10,BART_079,deciduousForest,2.2124339959997483,BART
BART_080 2015,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,16,52,0,3,5,0,31,0,0,4,8,165,32,294,9.1875,1.4459035677895347,0.6378592253227822,11,BART_080,deciduousForest,2.321161478566981,BART
BART_080 2016,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,23,0,15,5,0,30,0,0,7,1,157,40,250,6.25,1.3404574984791253,0.577216,11,BART_080,deciduousForest,1.9810014688665833,BART
BART_080 2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,18,67,0,14,15,0,24,0,0,4,2,88,40,239,5.975,1.7251403479872625,0.7618914234694771,11,BART_080,deciduousForest,1.9423323277074294,BART
BART_080 2018,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,5,5,0,16,5,0,8,0,0,1,0,72,30,118,3.933333333333333,1.371484025252841,0.5973858086756678,9,BART_080,deciduousForest,1.5960148921019597,BART
BART_080 2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,24,101,0,30,16,0,28,0,0,2,0,153,29,360,12.413793103448276,1.5494650944605506,0.7210185185185185,9,BART_080,deciduousForest,2.596283513631972,BART
BART_081 2015,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,4,0,40,7,0,72,0,0,1,2,78,32,218,6.8125,1.5164337819941567,0.7256544061947647,9,BART_081,mixedForest,2.05572501506252,BART
BART_081 2016,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19,3,0,57,0,0,0,1,51,36,145,4.027777777777778,1.390277971364487,0.6971700356718192,8,BART_081,mixedForest,1.6149780928097157,BART
BART_081 2017,0,0,0,0,8,0,1,1,0,0,4,0,0,0,0,1,0,9,0,52,11,5,26,0,0,0,0,47,36,165,4.583333333333333,1.7876916001305059,0.7833241505968779,11,BART_081,mixedForest,1.7197859696029656,BART
BART_081 2018,0,0,0,0,5,0,3,0,0,0,2,0,0,0,0,0,0,0,1,9,6,0,17,0,0,1,0,68,16,112,7,1.3404091427092022,0.5958227040816326,9,BART_081,mixedForest,2.0794415416798357,BART
BART_081 2019,0,0,1,0,11,0,1,0,0,0,3,0,0,0,0,0,0,5,0,53,10,0,29,0,0,1,0,140,29,254,8.758620689655173,1.3615361764198353,0.6356252712505425,10,BART_081,mixedForest,2.2781510676567636,BART
