taxonID,scientificName,DP-filght,Food
ACUTES,Acupalpus testaceus,Flight,NA
AGOCON,Agonoleptus conjunctus,Flight,Predator
AGORET,Agonum retractum,ModerateFlight,Predator
ANIHAP,Anisodactylus haplomus,GoodFlight,NA
ANIMER2,Anisodactylus merula,Flight,Omnivore
APELUC2,Apenes lucidula,ModerateFlight,NA
CARGOR,Carabus goryi,NoFlight,Predator
CARSER,Carabus serratus,ModerateFlight,Omnivore
CARSYL,Carabus sylvosus,NoFlight,Predator
CHLEMA,Chlaenius emarginatus,,Omnivore
CICPUN,Cicindela punctulata,GoodFlight,Predator
CYCCON2,Cyclotrachelus convivus,NoFlight,Predator
CYCFRE,Cyclotrachelus freitagi,NoFlight,Predator
CYLUNI,Cylindera unipunctata,Flight,Predator
CYMCRI,Cymindis cribricollis,ModerateFlight,Omnivore
CYMNEG,Cymindis neglecta,ModerateFlight,Omnivore
CYMLIM,Cymindis limbata,,Predator
CYMPLA2,Cymindis platicollis,Flight,Predator
CLIBAL,Clinidium baldufi,,NA
DICAMB,Dicaelus ambiguus,NoFlight,Predator
DICDIL5,Dicaelus dilatatus,NoFlight,Predator
DICFUR1,Dicaelus furvus,NoFlight,Predator
DICPOL,Dicaelus politus,NoFlight,Predator
ELAGRA,Elaphropus granarius,Flight,Predator
LOXCRE,Loxandrus crenatus,ModerateFlight,NA
MYACYA,Myas cyanescens,NoFlight,Predator
NOTAEN,Notiophilus aeneus,ModerateFlight,Predator
PASDEP,Pasimachus depressus,NoFlight,Predator
PASPUN,Pasimachus punctulatus,NoFlight,Predator
PLADEC,Platynus decentis,ModerateFlight,Predator
POLLAE,Polyderis laeva,Flight,Predator
PTEADO,Pterostichus adoxus,NoFlight,Predator
PTECOR1,Pterostichus coracinus,NoFlight,Predator
PTEMUT2,Pterostichus mutus,Flight,Predator
PTEOPH,Pterostichus ophryoderus,NoFlight,Predator
PTEPEN,Pterostichus pensylvanicus,ModerateFlight,Predator
PTEROS,Pterostichus rostratus,NoFlight,Predator
PTETRI3,Pterostichus tristis,NoFlight,Predator
SELCON2,Selenophorus contractus,Flight,NA
SELELL,Selenophorus ellipticus,Flight,NA
SELFAT,Selenophorus fatuus,Flight,NA
SELOPA,Selenophorus opalinus,Flight,Predator
SELSP2,Selenophorus sp.,,NA
SPHCAN,Sphaeroderus canadensis,NoFlight,Predator
SPHSTE1,Sphaeroderus stenostomus,NoFlight,Predator
SPHSTE3,Sphaeroderus stenostomus,NoFlight,Predator
SYNAME,Syntomus americanus,Flight,Predator
SYNIMP,Synuchus impunctatus,Flight,Omnivore
TETCAR2,Tetracha carolina,ModerateFlight,Predator
TETVIR,Tetracha virginica,NoFlight,Predator
TETINT,Tetragonoderus intersectus,Flight,NA
TRIAUT,Trichotichnus autumnalis,ModerateFlight,NA