scientificName,AverageBodyLength_mm,WingMorphology,OverWinterType,DailyActivityPattern,Diet,,HabitatAffinity,HumidityPreference,AbundanceGrassland,AbundanceForestEdge,AbundanceForestInterior
Abax parallelepipedus,18.3,brachypterous,larval,nocturnal,predatory,,forest,hygrofil,143,591,787
Abax carinatus,14.2,brachypterous,adult,nocturnal,predatory,,forest,hygrofil,2,2,6
Abax ovalis,14,brachypterous,adult,nocturnal,predatory,,forest,hygrofil,10,26,170
Abax parallelus,14.6,brachypterous,adult,nocturnal,predatory,,forest,hygrofil,11,3,24
Anchomenus dorsalis,6.6,macropterous,adult,nocturnal,omnivorous,,open-habitat,mesophil,1,0,0
Agonum viridicupreum,9.1,macropterous,adult,diurnal,predatory,,open-habitat,hygrofil,1,0,0
Amara aenea,7.2,macropterous,adult,diurnal,omnivorous,,open-habitat,xerophil,1,0,0
Amara apricaria,6.9,macropterous,larval,nocturnal,omnivorous,,open-habitat,mesophil,1,0,0
Amara communis,6.5,macropterous,adult,diurnal,herbivorous,,open-habitat,mesophil,3,0,0
Amara convexior,7.7,macropterous,adult,diurnal,omnivorous,,generalist,xerophil,4,1,0
Amara familiaris,6.3,macropterous,adult,diurnal,herbivorous,,open-habitat,mesophil,1,0,0
Amara lucida,5.6,macropterous,adult,diurnal,omnivorous,,open-habitat,xerophil,1,0,0
Amara ovata,8.6,macropterous,adult,diurnal,herbivorous,,forest,xerophil,0,2,0
Anisodactylus signatus,11.8,macropterous,adult,nocturnal,omnivorous,,open-habitat,hygrofil,1,0,0
Aptinus bombarda,10.9,brachypterous,adult,nocturnal,predatory,,forest,hygrofil,1,3,68
Badister meridionalis,6.7,macropterous,adult,nocturnal,predatory,,open-habitat,hygrofil,1,0,0
Bembidion lampros,3.4,dimorphic,adult,diurnal,predatory,,generalist,mesophil,1,0,0
Calathus fuscipes,11.1,dimorphic,larval,nocturnal,omnivorous,,open-habitat,xerophil,3,0,0
Carabus arvensis,18,brachypterous,adult,diurnal,predatory,,forest,xerophil,48,21,3
Carabus convexus,17,brachypterous,adult,nocturnal,predatory,,forest,xerophil,15,17,26
Carabus coriaceus,36.5,brachypterous,adult/larval,nocturnal,predatory,,generalist,mesophil,4,28,10
Carabus hortensis,25,brachypterous,adult/larval,nocturnal,predatory,,forest,mesophil,5,101,35
Carabus intricatus,30,brachypterous,adult,nocturnal,predatory,,forest,hygrofil,8,9,4
Carabus montivagus,20,brachypterous,adult/larval,nocturnal,predatory,,generalist,hygrofil,25,2,4
Carabus nemoralis,23,brachypterous,adult,nocturnal,predatory,,generalist,hygrofil,15,14,19
Carabus violaceus,28.5,brachypterous,adult,nocturnal,predatory,,generalist,mesophil,134,59,14
Cicindela campestris,12.5,macropterous,adult,diurnal,predatory,,open-habitat,xerophil,2,0,0
Harpalus latus,9.1,macropterous,adult/larval,diurnal,omnivorous,,generalist,hygrofil,1,0,0
Harpalus rubripes,10,macropterous,adult/larval,nocturnal,omnivorous,,open-habitat,xerophil,1,0,0
Pseudoophonus rufipes,13.1,macropterous,adult/larval,nocturnal,omnivorous,,open-habitat,xerophil,61,1,1
Molops piceus,11.7,brachypterous,adult,nocturnal,predatory,,forest,hygrofil,94,126,169
Panagaeus bipustulatus,7.2,macropterous,adult,diurnal,omnivorous,,open-habitat,hygrofil,3,3,0
Platyderus rufus,6.3,brachypterous,larval,nocturnal,predatory,,generalist,mesophil,1,0,0
Poecilus cupreus,11.8,macropterous,adult,diurnal,omnivorous,,open-habitat,hygrofil,3,0,0
Pterostichus ovoideus,7.1,dimorphic,adult,nocturnal,omnivorous,,generalist,hygrofil,16,0,0
Pterostichus burmeisteri,13,brachypterous,adult,nocturnal,predatory,,forest,hygrofil,3,74,248
Pterostichus niger,18.4,macropterous,larval,nocturnal,predatory,,forest,hygrofil,0,1,0
Pterostichus oblongopunctatus,11.5,macropterous,adult,nocturnal,predatory,,forest,mesophil,0,178,620
Pterostichus melanarius,15.7,dimorphic,larval,nocturnal,predatory,,generalist,mesophil,158,3,2
Synuchus vivalis,7.2,dimorphic,larval,nocturnal,omnivorous,,generalist,mesophil,79,2,0