plotIDyear,AGOCON,AGOSTR,AMAAEN1,AMAIMP,ANIDUL,ANIFUR,ANIHAP,ANIMER2,ANIRUS,APESIN,CALOPA,CHLEMA,CICABD,CYCFAB,CYCLAE,CYCOVU,CYCSIG,CYCSP3,DICDIL5,DICELO,DICFUR1,DYSABB,GALBIC,GALJAN,HARCAL,HARCOM,HARKAT,HARPEN.HARTEX,HARSP7,HELNIG,LEBPUL,LEBVIR2,PARSP,PASSUB1,PASSUB2,SELDIS2,SELFAT,SELFOS,SELOPA,SELPAL,SELSP,SEMPUN,TETCAR2,TETFLO,TETINT,TRIDIC,SELELL,SELGRA,cups,totalIndividuals,density,ShannonBeetle,SimpsonBeetle,spNum,plotID,nlcdClass,logDen,siteID
JERC_001 2015,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,1,0,0,0,1,0,7,0,44,49,1.1136363636363635,1.4511934352593145,0.6172428154935443,10,JERC_001,deciduousForest,0.7484098592349946,JERC
JERC_001 2016,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,3,2,51,41,0.803921568627451,1.3485583234056386,0.5496728138013087,10,JERC_001,deciduousForest,0.5899629443247145,JERC
JERC_001 2017,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,1,0,0,0,1,0,6,15,48,58,1.2083333333333333,1.5047058050706448,0.7443519619500594,7,JERC_001,deciduousForest,0.7922380832041761,JERC
JERC_001 2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,39,13,0.3333333333333333,1.1569876443452742,0.6272189349112427,4,JERC_001,deciduousForest,0.28768207245178085,JERC
JERC_001 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,3,1,39,13,0.3333333333333333,1.6715952780212544,0.7928994082840236,6,JERC_001,deciduousForest,0.28768207245178085,JERC
JERC_002 2015,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0.045454545454545456,0,0,1,JERC_002,evergreenForest,0.044451762570833796,JERC
JERC_002 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,0,JERC_002,evergreenForest,0,JERC
JERC_002 2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0.020833333333333332,0,0,1,JERC_002,evergreenForest,0.02061928720273561,JERC
JERC_002 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,4,0.10256410256410256,0.5623351446188083,0.375,2,JERC_002,evergreenForest,0.09763846956391607,JERC
JERC_002 2019,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0.20512820512820512,0.7356219397587946,0.40625,3,JERC_002,evergreenForest,0.1865859555804121,JERC
JERC_003 2015,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,11,0.25,1.6417347121875212,0.7768595041322314,6,JERC_003,deciduousForest,0.22314355131420976,JERC
JERC_003 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,3,0.057692307692307696,1.0986122886681096,0.6666666666666667,3,JERC_003,deciduousForest,0.05608946665104358,JERC
JERC_003 2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,13,0.2708333333333333,1.3269201940506905,0.6863905325443787,5,JERC_003,deciduousForest,0.23967285326542026,JERC
JERC_003 2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,39,8,0.20512820512820512,1.7328679513998633,0.8125,6,JERC_003,deciduousForest,0.1865859555804121,JERC
JERC_003 2019,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,7,0.18421052631578946,1.7478680974667573,0.8163265306122449,6,JERC_003,deciduousForest,0.1690763300439339,JERC
JERC_005 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,44,2,0.045454545454545456,0.6931471805599453,0.5,2,JERC_005,evergreenForest,0.044451762570833796,JERC
JERC_005 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0.019230769230769232,0,0,1,JERC_005,evergreenForest,0.01904819497069441,JERC
JERC_005 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,48,2,0.041666666666666664,0.6931471805599453,0.5,2,JERC_005,evergreenForest,0.0408219945202552,JERC
JERC_005 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0.02564102564102564,0,0,1,JERC_005,evergreenForest,0.025317807984289786,JERC
JERC_005 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0.10256410256410256,0,0,1,JERC_005,evergreenForest,0.09763846956391607,JERC
JERC_006 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,1,0,JERC_006,mixedForest,0,JERC
JERC_006 2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,0.038461538461538464,0.6931471805599453,0.5,2,JERC_006,mixedForest,0.03774032798284711,JERC
JERC_006 2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0.022222222222222223,0,0,1,JERC_006,mixedForest,0.021978906718775167,JERC
JERC_006 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,JERC_006,mixedForest,0,JERC
JERC_006 2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,4,0.10256410256410256,1.3862943611198906,0.75,4,JERC_006,mixedForest,0.09763846956391607,JERC
JERC_007 2015,3,0,0,0,1,0,1,0,0,0,0,0,0,0,5,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,23,0.5227272727272727,1.8465147072906172,0.8128544423440454,8,JERC_007,evergreenForest,0.42050298547270487,JERC
JERC_007 2016,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,17,0.3269230769230769,1.6749900127837867,0.7612456747404844,7,JERC_007,evergreenForest,0.282862786015832,JERC
JERC_007 2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,11,0.22916666666666666,1.9722469794234416,0.8429752066115702,8,JERC_007,evergreenForest,0.20633643299782858,JERC
JERC_007 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0.08333333333333333,0.6365141682948128,0.4444444444444444,2,JERC_007,evergreenForest,0.08004270767353636,JERC
JERC_007 2019,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,15,0.38461538461538464,1.39539709232679,0.7022222222222222,5,JERC_007,evergreenForest,0.32542240043462795,JERC
JERC_008 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,3,0.06818181818181818,1.0986122886681096,0.6666666666666667,3,JERC_008,mixedForest,0.06595796779179737,JERC
JERC_008 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,52,4,0.07692307692307693,1.0397207708399179,0.625,3,JERC_008,mixedForest,0.074107972153721835,JERC
JERC_008 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,47,3,0.06382978723404255,1.0986122886681096,0.6666666666666667,3,JERC_008,mixedForest,0.06187540371808745,JERC
JERC_008 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34,3,0.08823529411764706,1.0986122886681096,0.6666666666666667,3,JERC_008,mixedForest,0.08455738802806297,JERC
JERC_008 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,36,7,0.19444444444444445,0.5982695885852573,0.40816326530612246,2,JERC_008,mixedForest,0.17768117723745241,JERC
JERC_009 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,1,0,JERC_009,evergreenForest,0,JERC
JERC_009 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,1,0,JERC_009,evergreenForest,0,JERC
JERC_009 2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0.020833333333333332,0,0,1,JERC_009,evergreenForest,0.02061928720273561,JERC
JERC_009 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,JERC_009,evergreenForest,0,JERC
JERC_009 2019,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0.07692307692307693,0.6365141682948128,0.4444444444444444,2,JERC_009,evergreenForest,0.074107972153721835,JERC
JERC_010 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,40,6,0.15,0.6365141682948128,0.4444444444444444,2,JERC_010,deciduousForest,0.13976194237515863,JERC
JERC_010 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,0.038461538461538464,0,0,1,JERC_010,deciduousForest,0.03774032798284711,JERC
JERC_010 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,JERC_010,deciduousForest,0,JERC
JERC_010 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,JERC_010,deciduousForest,0,JERC
JERC_010 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,1,0.02564102564102564,0,0,1,JERC_010,deciduousForest,0.025317807984289786,JERC
JERC_030 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45,8,0.17777777777777778,1.559581156259877,0.78125,5,JERC_030,mixedForest,0.16362942378180212,JERC
JERC_030 2016,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,14,0.28,1.1973401339967782,0.6632653061224489,4,JERC_030,mixedForest,0.2468600779315258,JERC
JERC_030 2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,7,0.14893617021276595,1.7478680974667573,0.8163265306122449,6,JERC_030,mixedForest,0.1388364448542159,JERC
JERC_030 2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,4,0.10256410256410256,1.3862943611198906,0.75,4,JERC_030,mixedForest,0.09763846956391607,JERC
JERC_030 2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,39,27,0.6923076923076923,1.4958842323131551,0.6556927297668038,8,JERC_030,mixedForest,0.5260930958967791,JERC
